Member Geometry,,,,,,,,Material Properties,
,Tie Rod,Low-Fore,Low-Aft,Upper-Fore,Upper-Aft,Push/Pull Rod,,Tensile Modulus (psi),17000000
Length (in),11.001,11.089545,7.516333,9.95689927,5.986169,3.709,,Ult. Tensile Strength (psi),275000
ID (in),0.555,0.5,0.5,0.375,0.375,0.375,,Compressive Modulus (psi),14500000
OD (in),0.619,0.564,0.564,0.439,0.439,0.439,,Ult. Compressive Strength (psi),132000
Wall Thickness (in),0.032,0.032,0.032,0.032,0.032,0.032,,Yeild Strength (psi),
Area (in2),0.059011676,0.053482473,0.053482473,0.040916103,0.040916103,0.040916103,,Density (lbm/in3),0.0549
Area MoI (in4),0.002549253,0.001898949,0.001898949,0.000852451,0.000852451,0.000852451,,,
,,,,,,,,Factor of Safety,
Critical Buckling Loads,,,,,,,,Yield,1.3
,Tie Rod,Low-Fore,Low-Aft,Upper-Fore,Upper-Aft,Push/Pull Rod,,Ultimate,1.5
k (Effective Length Factor),1,1,1,1,1,1,,,
Pcr (lbf),3014.507167,2209.802825,4810.264467,1230.521047,3404.390157,8867.957574,,,
,,,,,,,,,
Max Allowable Tensile Force,,,,,,,,,
,Tie Rod,Low-Fore,Low-Aft,Upper-Fore,Upper-Aft,Push/Pull Rod,,,
Yield Fmax (lbf),0,0,0,0,0,0,,,
Ultimate Fmax (lbf),16228.21101,14707.68017,14707.68017,11251.92825,11251.92825,11251.92825,,,
,,,,,,,,,
,,,,,,,,,
,Tension - Member Load Values & Margin of Safety,,,,,,,,
,Member,Max Tensile Force,MoSY,MoSU,Pressure,Max Axial Deflection,,,
,Tie Rod,950.2164543,,,,,,,
,Low-Fore,533.4347206,,,,,,,
,Low-Aft,2183.91087,,,,,,,
,Upper-Fore,777.2178531,,,,,,,
,Upper-Aft,1129.901337,,,,,,,
,Push/Pull Rod,-337.85879,,,,,,,
,,,,,,,,,
,Compression - Member Load Values & Margin of Safety,,,,,,,,
,Member,Max Compressive Force,MoSU,Stress,Max Axial Deflection,,,,
,Tie Rod,-1782.6106,0.12737546,-30207.76071,-0.388369166,,,,
,Low-Fore,-824.4022242,0.786994067,-15414.43716,-0.22042554,,,,
,Low-Aft,-943.4164656,2.399180632,-17639.73143,-0.170969443,,,UNI ROLLED TUBE MATERIAL PROPERTIES SHEET,
,Upper-Fore,-406.5730518,1.017712096,-9936.74922,-0.166765489,,,,
,Upper-Aft,-48.02546554,46.25812468,-1173.754643,-0.011843063,,,,
,Push/Pull Rod,-1918.09,2.0822181,-46878.60946,-0.293068601,,,,
